Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Delhi,57.11
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Mumbai,37.04
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Andhra Pradesh,85.45
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Assam,24.62
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Bihar,90.97
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Gujarat,68.24
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Haryana,27.06
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Himachal Pradesh,9.92
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Jammu & Kashmir,12.31
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Karnataka,68.29
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Kerala,44.09
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Madhya Pradesh,78.74
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Maharashtra,93.63
India,"Calendar Year (Jan - Dec), 2022","August, 2022",North East,12.28
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Odisha,33.36
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Punjab,37.37
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Rajasthan,64.2
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Tamil Nadu,80.5
